,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Rccovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
169,Burundi,4093.00,,6.00,,773.00,3314.00,,336.00,0.50,90019.00,7386.00
122,Cabo Verde,25526.00,,230.00,,22105.00,3191.00,23.00,45494.00,410.00,154030.00,274523.00
133,Cambodia,18179.00,558.00,114.00,,6884.00,11181.00,,1075.00,7.00,975806.00,57692.00
99,Cameroon,74946.00,,1152.00,,70497.00,3297.00,385.00,2765.00,43.00,1257949.00,46418.00
22,Canada,1265320.00,,24489.00,,1159506.00,81325.00,1456.00,33279.00,644.00,32266260.00,848630.00
189,Caribbean Netherlands,1573.00,,16.00,,1540.00,17.00,,59518.00,605.00,10040.00,379886.00
198,Cayman Islands,545.00,,2.00,,536.00,7.00,,8211.00,30.00,91086.00,1372335.00
159,Central African Republic,6674.00,,93.00,,5112.00,1469.00,2.00,1362.00,19.00,40907.00,8348.00
166,Chad,4854.00,,170.00,,4612.00,72.00,,289.00,10.00,114926.00,6832.00
171,Channel Islands,4056.00,,86.00,,3956.00,14.00,,23149.00,491.00,454413.00,2593445.00
23,Chile,1235778.00,6530.00,27004.00,109.00,1170437.00,38337.00,3176.00,64180.00,1402.00,13432114.00,697599.00
96,China,90739.00,13.00,4636.00,,85795.00,308.00,3.00,63.00,3.00,160000000.00,111163.00
12,Colombia,2951101.00,,76414.00,,2773220.00,101467.00,6006.00,57481.00,1488.00,15201520.00,296092.00
173,Comoros,3847.00,,146.00,,3681.00,20.00,,4346.00,165.00,,
61,Costa Rica,263094.00,,3341.00,,211043.00,48710.00,409.00,51251.00,651.00,1025064.00,199685.00
109,Cote d'Ivoire,46315.00,,291.00,,45764.00,260.00,,1720.00,11.00,605248.00,22478.00
51,Croatia,342487.00,1435.00,7388.00,33.00,323834.00,11265.00,242.00,83865.00,1809.00,1863305.00,456268.00
90,Cuba,113876.00,1162.00,713.00,12.00,107476.00,5687.00,115.00,10059.00,63.00,3787896.00,334597.00
145,Curaçao,12222.00,,113.00,,11907.00,202.00,22.00,74225.00,686.00,98096.00,595745.00
102,Cyprus,68442.00,,328.00,,39061.00,29053.00,63.00,56341.00,270.00,5124872.00,4218752.00
19,Czech Republic,1642696.00,1559.00,29608.00,22.00,1570842.00,42246.00,411.00,153154.00,2760.00,19585985.00,1826064.00
119,Democratic Republic of the Congo,30240.00,39.00,772.00,2.00,26324.00,3144.00,,329.00,8.00,151894.00,1654.00
63,Denmark,257505.00,1023.00,2495.00,2.00,244364.00,10646.00,34.00,44325.00,429.00,41474152.00,7139078.00
149,Djibouti,11319.00,12.00,148.00,,11041.00,130.00,,11318.00,148.00,151665.00,151649.00
203,Dominica,174.00,,,,172.00,2.00,,2412.00,,14936.00,207050.00
60,Dominican Republic,269184.00,,3514.00,,230033.00,35637.00,215.00,24606.00,321.00,1423534.00,130125.00
45,Ecuador,395327.00,,19018.00,,329582.00,46727.00,621.00,22124.00,1064.00,1322673.00,74021.00
68,Egypt,234015.00,,13714.00,,175117.00,45184.00,90.00,2251.00,132.00,2715258.00,26119.00
100,El Salvador,70255.00,126.00,2146.00,3.00,65778.00,2331.00,31.00,10785.00,329.00,934357.00,143441.00
157,Equatorial Guinea,7694.00,,112.00,,7279.00,303.00,7.00,5337.00,78.00,123169.00,85441.00
175,Eritrea,3734.00,,12.00,,3602.00,120.00,,1041.00,3.00,23693.00,6604.00
85,Estonia,124529.00,383.00,1193.00,6.00,115060.00,8276.00,50.00,93822.00,899.00,1318022.00,993017.00
132,Eswatini,18473.00,,671.00,,17768.00,34.00,3.00,15785.00,573.00,190646.00,162903.00
62,Ethiopia,260802.00,,3822.00,,205458.00,51522.00,748.00,2222.00,33.00,2604376.00,22192.00
208,Falkland Islands,63.00,,,,63.00,0.00,,17672.00,,7258.00,2035905.00
197,Faroe Islands,668.00,,1.00,,662.00,5.00,,13627.00,20.00,255546.00,5213097.00
205,Fiji,129.00,,3.00,,84.00,42.00,,143.00,3.00,60054.00,66584.00
97,Finland,88332.00,254.00,922.00,3.00,46000.00,41410.00,28.00,15921.00,166.00,4615178.00,831863.00
4,France,5728090.00,,105850.00,,4786754.00,835486.00,5231.00,87591.00,1619.00,77792623.00,1189567.00
128,French Guiana,20226.00,,104.00,,9995.00,10127.00,18.00,66276.00,341.00,223846.00,733493.00
130,French Polynesia,18776.00,,141.00,,18617.00,18.00,2.00,66515.00,500.00,26355.00,93364.00
124,Gabon,23201.00,,140.00,,19740.00,3321.00,22.00,10221.00,62.00,736002.00,324252.00
163,Gambia,5925.00,,175.00,,5547.00,203.00,3.00,2395.00,71.00,76379.00,30878.00
54,Georgia,319266.00,1547.00,4245.00,18.00,298807.00,16214.00,,80164.00,1066.00,4316833.00,1083902.00
10,Germany,3493757.00,7295.00,84924.00,113.00,3128800.00,280033.00,5049.00,41587.00,1011.00,56836969.00,676545.00
94,Ghana,92856.00,28.00,783.00,,90480.00,1593.00,6.00,2937.00,25.00,1108763.00,35067.00
